"FS PEAK";"FS INT";"SS PEAK";"SS INT";"CD11b FITC";"LIN PE";"FL3 INT";"CD33 PCP55";"CD14 PC7";"CD34 APC";"CD15 EF450";"HLA DR V510";"TIME"
87552;518644;19536;125163;62122,52;2224,479;-4192,641;18344,53;53908,96;-2667,243;336,6879;2792,541;8
93520;532662;23440;140260;30842,8;1309,102;-1629,515;9235,067;31744,03;-1277,647;65,16403;606,8553;10
76848;442703;14752;82478;7475,516;2412,653;6053,741;2213,453;-61,8765;979,7311;352,2191;873,6904;22
71360;393456;14800;82017;6068,82;234,4922;100,7388;829,1277;110,5776;222,4392;123,8097;395,1994;28
116496;660213;23392;129078;32959,8;1021,785;-877,5712;9940,246;25549,31;-1008,226;243,2545;1646,32;32
67088;406366;24432;152439;64689,29;2284,684;-3901,851;25446,63;49954,55;-2194,017;324,9453;587,7046;35
79232;465810;66928;358003;4387,455;273,3792;601,5086;780,7234;128,5094;742,7589;15718,05;8,156952;36
87840;505130;39504;203796;4440,301;1502,989;3752,709;1885,984;-108,306;633,3406;443,7856;522,5363;45
66688;457127;29760;194579;2080,508;568,9324;1555,706;5992,188;-333,7597;118,1988;5107,175;2088,277;56
37824;247238;30320;183528;92348,96;-308,8958;101,6338;15251,71;52652,49;-3058,917;160,6198;670,6608;58
96848;616248;86080;587421;27488,48;1220,919;-3409,974;10889,93;-1113,796;34730,58;44475,37;1680,434;97
62864;629444;28592;245779;19494,12;3387,725;1100,003;12829;16516,48;-511,0508;205,6539;1969,719;112
87264;526453;62880;346926;16726,91;294,7785;-736,0176;9920,026;-788,6499;-13,43124;25569,87;509,0324;117
114592;715337;85456;487557;28392,42;1148,688;-3101,827;23719,13;-2437,431;643,0358;29306,96;802,8884;118
97744;569644;31760;195535;46733,84;852,2511;-882,1936;19106,61;30860,48;-1001,599;392,0632;712,4752;144
80672;541029;12880;113513;7658,074;780,0696;3906,511;1070,094;91,52527;99,78015;912,606;733,8806;176
70272;400875;21984;127498;8140,675;317,8239;614,8221;7109,082;560,3735;247,1158;1343,26;1588,466;242
96496;562165;25424;161897;1561,783;225,6105;1128,11;4835,345;-117,2855;369,267;2686,586;1370,697;249
41504;302625;28944;284293;15185,97;-409,4102;5340,668;9101,316;6585,985;5042,747;8371,756;7669,997;287
95808;571061;66624;382311;7767,818;540,5037;-1323,318;2452,799;-201,9023;3175,761;41035,91;-516,1082;291
90656;588210;27344;173273;53328,5;578,4208;-169,2088;17517,73;37412,86;-1649,94;323,5601;1269,693;299
75184;436246;27984;173997;43557,84;1646,255;-355,0281;22692,28;48329,93;-2198,059;2553,197;302,829;301
79488;539398;25728;171834;20134,74;499,8632;-572,4495;3859,804;19159,95;-833,4287;222,076;497,9341;312
37360;279908;32240;232208;10081,08;487,1749;1030,501;2652,844;419,0219;-12,93442;6052,461;395,5919;314
123200;733895;43120;254497;42532,88;1528,205;-2781,063;14944,72;35646,17;-1151,031;1662,965;907,7854;315
80384;806288;17328;180522;6107,981;136,5963;6507,492;12477,78;99,35741;125,4909;-531,97;49662,43;317
49904;280515;15552;83876;8130,816;457,5666;-138,6493;786,0753;108,0929;91,28491;276,1104;584,6405;323
99232;624377;86720;516839;10902,88;1141,642;-527,7568;7363,227;20,60846;731,9766;11327,86;222,5186;361
79600;459452;23504;138944;23838,26;-577,0138;2931,618;14320,42;12972,75;-677,6833;128,7025;2282,171;379
83888;628552;20848;150563;66393,14;1381,263;-3275,682;20360,15;46583,63;-2755,115;520,8547;1476,758;394
134368;837128;87392;492756;32146,25;318,8769;-1761,247;22892,02;-2238,125;918,7065;39367,96;1281,792;407
96480;612391;21664;140258;68366,13;1756,706;-7348,967;16247,98;30358,59;-1883,046;1489,615;548,533;433
111392;662568;25920;161318;48586,01;-103,9677;582,6567;23018,66;54408,97;-2564,402;122,9089;3708,685;435
127168;723656;86528;488650;16511,11;592,5879;-1701,839;16171,33;-1988,819;742,6506;24532,36;1477,427;439
64112;392293;29072;170827;61238,15;2418,091;-2816,937;25530,02;38609,86;2577,056;12911,64;4690,147;441
96848;579042;23728;150533;59510,76;1961,582;-1365,356;15788,89;42392,39;-1299,691;401,1047;1716,577;444
93840;578583;26688;172750;88130,33;-279,0726;-3210,627;15289,37;56539,91;-2276,638;413,4926;2105,659;449
84976;480368;17968;108255;26976,9;-250,2812;710,6218;7618,033;10280,34;-529,4181;85,15968;3919,048;451
85680;514715;22192;135818;43576,05;2063,346;2442,959;17434,94;49728,69;-2252,165;1362,589;1900,993;475
90656;683515;63424;411293;57615,79;1768,668;-3006,782;14107,76;52290,6;-2423,574;1768,085;785,056;481
88768;535828;71584;423430;3923,229;184,631;169,7957;4161,258;-292,5255;134,4353;9240,203;1481,848;521
130144;772392;66288;386125;24742,83;1255,767;-2557,572;17405,53;-1198,247;2214,57;60374,09;434,0168;545
88544;588931;25440;155568;57582,26;497,2503;-36,40479;24394,99;28301,16;-1918,459;486,1582;5341,939;565
83168;474463;13584;78179;18565,37;78,22244;-1099,768;4751,64;-41,98386;-211,4497;736,822;627,3186;577
74240;445571;15984;99745;69238,46;817,437;-4639,661;11254,46;32661,9;-1691,713;102,9829;686,3099;578
106144;701440;26080;175139;43296,49;121,5663;137,9128;12561,67;27686,52;-1261,934;1721,716;929,0259;585
118992;714939;23008;136551;36493,62;2068,109;140,481;12954,16;48811,73;-2441,652;693,7213;379,693;591
96960;588658;18096;109721;66204,11;514,0682;-3464,447;18847,78;27886,74;-1431,609;661,8497;1185,429;593
125104;821636;91552;555546;59598,32;962,6935;-8722,956;25069,95;-2517,751;6099,996;69566,76;-232,8846;609
79568;472951;23664;149927;64835,95;163,035;-1188,606;12717,58;55183,3;-2767,181;433,2281;361,6312;614
115104;702440;48512;296877;18791,42;2003,391;-2251,242;23651,75;-2321,412;2681,794;71287,76;-311,6101;617
105312;664933;26816;164997;50507,29;1208,474;547,8184;18451,96;46330,55;-2033,056;1458,548;1876,369;621
98160;544427;26448;153743;53242,79;386,3251;-2954,447;13929,3;34034,87;-1147,253;266,0558;1326,254;630
94384;555919;31152;176208;37499,3;19639,67;-3000,652;15029,99;49880;-1963,092;338,8962;1800,431;632
93216;554656;24032;147430;7911,385;270,3486;678,3346;9544,268;-649,0242;-264,5558;4020,606;1577,543;632
74224;439004;20400;128044;24027,36;-6,138611;1134,879;9336,095;21097,84;-719,5427;881,2192;314,4609;649
72912;440245;19216;126712;35286,93;604,1933;-1322,25;12985,83;29985,08;-1282,544;1391,416;515,5753;677
113024;691355;39648;249088;56537,25;2092,379;-4036,441;21661,24;16127,17;-1060,594;9934,373;1668,478;684
113648;690539;66176;417289;29001,2;1098,997;-2905,439;25981,07;-1710,784;979,3749;64450,47;-160,8972;685
85120;497037;25984;147010;49973,84;2510,049;-3502,241;11711,06;27610,7;-1505,909;372,6523;497,6735;693
98608;567062;26384;144945;44258,41;1348,623;-2580,402;10902,79;38681,57;-1880,227;206,9271;4677,042;742
107376;672628;35104;241337;36520,63;-935,3527;9641,171;9344,801;68555,3;-2651,554;212,3785;2164,301;744
55168;349914;23648;145584;58164,08;295,5721;-1037,525;26534,53;52035,88;-62,08237;1160,844;1270,593;744
57888;450514;27296;265521;3192,422;-802,3638;6092,961;6466,001;644,2248;5549,978;516,3414;1067,648;757
70560;437900;26704;163492;29642,17;1253,99;-1975,821;10718,29;20526,52;-947,3464;236,1298;570,8145;778
92752;594060;106048;601460;1573,555;1260,027;605,1832;3692,987;-94,76007;32,07736;21934,56;620,7632;805
91104;544024;20176;113144;18880,13;1114,266;-150,7467;5956,088;13612,5;-617,4063;331,1004;1685,655;810
102336;647373;65952;358324;20229,9;826,0654;-1915,265;14658,43;-1163,628;-287,2353;26223,23;57,27487;815
94000;567785;13200;81859;2597,396;17,70145;3030,666;1390,488;33,22278;460,7631;386,8095;482,4836;819
